Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Product Name,Brand,Subcategory,Category,Unit Cost USD,Unit Price USD,Revenue,Cost,Profit
1147008,1,2/20/2018,,1226395,45,1364,1,USD,Contoso Phone System Accessory Handset with Charger M308 White,Contoso,Home & Office Phones,Cell phones,12.41,26.99,26.99,12.41,14.579999999999998
1147008,2,2/20/2018,,1226395,45,393,6,USD,WWI Laptop16 M0160 Black,Wide World Importers,Laptops,Computers,275.46,599.0,3594.0,1652.7599999999998,1941.2400000000002
1147008,3,2/20/2018,,1226395,45,1515,2,USD,The Phone Company Smart phones 6-LINE SCREEN M21 Gold,The Phone Company,Smart phones & PDAs,Cell phones,105.77,230.0,460.0,211.54,248.46
1147008,4,2/20/2018,,1226395,45,920,6,USD,SV USB Data Cable E600 Black,Southridge Video,Computers Accessories,Computers,0.48,0.95,5.699999999999999,2.88,2.8199999999999994
1147008,5,2/20/2018,,1226395,45,2098,7,USD,Contoso Water Heater 2.6GPM E0900 Green,Contoso,Water Heaters,Home Appliances,258.99,508.0,3556.0,1812.93,1743.07
1147008,6,2/20/2018,,1226395,45,422,2,USD,Adventure Works Desktop PC2.33 XD233 Black,Adventure Works,Desktops,Computers,321.05,969.0,1938.0,642.1,1295.9
1147008,7,2/20/2018,,1226395,45,1803,1,USD,MGS Combat Flight Simulator 2009 E159,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,32.0,16.31,15.690000000000001
1147009,1,2/20/2018,,875681,33,1639,4,EUR,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,39.96,20.36,19.6
1147010,1,2/20/2018,,154973,6,449,1,AUD,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Desktops,Computers,160.49,349.0,349.0,160.49,188.51
1147011,1,2/20/2018,,579674,22,330,1,EUR,SV Car Video TFT7 M7001 Brown,Southridge Video,Car Video,TV and Video,157.54,309.0,309.0,157.54,151.46
1147011,2,2/20/2018,,579674,22,71,3,EUR,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Bluetooth Headphones,Audio,22.05,47.95,143.85000000000002,66.15,77.70000000000002
1147012,1,2/20/2018,,961200,38,440,3,GBP,WWI Desktop PC1.60 E1600 Silver,Wide World Importers,Desktops,Computers,112.14,219.95,659.8499999999999,336.42,323.4299999999999
1147012,2,2/20/2018,,961200,38,2176,4,GBP,Fabrikam Coffee Maker Super-Auto 12C X125 White,Fabrikam,Coffee Machines,Home Appliances,546.68,1650.0,6600.0,2186.72,4413.280000000001
1147012,3,2/20/2018,,961200,38,427,1,GBP,Adventure Works Desktop PC3.0 MS300 Black,Adventure Works,Desktops,Computers,215.68,469.0,469.0,215.68,253.32
1147013,1,2/20/2018,,1484183,54,1575,1,USD,SV DVD Player M140 Gold,Southridge Video,Movie DVD,"Music, Movies and Audio Books",28.05,60.99,60.99,28.05,32.94
1147013,2,2/20/2018,,1484183,54,1461,4,USD,Contoso Touch Screen Phones Capacitive M908 Black,Contoso,Touch Screen Phones,Cell phones,141.64,308.0,1232.0,566.56,665.44
1147014,1,2/20/2018,,1393392,47,2496,1,USD,Headphone Adapter for Contoso Phone E130 Silver,Contoso,Cell phones Accessories,Cell phones,5.09,9.99,9.99,5.09,4.9
1147014,2,2/20/2018,,1393392,47,1658,2,USD,Contoso DVD 7-Inch Player Portable E200 White,Contoso,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,219.98,112.16,107.82
1147016,1,2/20/2018,,42177,6,1687,1,AUD,SV Hand Games men M30 Yellow,Southridge Video,Boxed Games,Games and Toys,3.16,6.88,6.88,3.16,3.7199999999999998
1147016,2,2/20/2018,,42177,6,1462,2,AUD,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso,Touch Screen Phones,Cell phones,123.24,268.0,536.0,246.48,289.52
1147016,3,2/20/2018,,42177,6,1609,1,AUD,SV DVD 14-Inch Player Portable L100 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",86.14,259.99,259.99,86.14,173.85000000000002
1147016,4,2/20/2018,,42177,6,2115,2,AUD,Contoso Water Heater 4.3GPM M1250 Yellow,Contoso,Water Heaters,Home Appliances,403.53,877.5,1755.0,807.06,947.94
1147017,1,2/20/2018,,162300,5,9,3,AUD,Contoso 4G MP3 Player E400 Black,Contoso,MP4&MP3,Audio,30.58,59.99,179.97,91.74,88.23
1147018,1,2/20/2018,2/27/2018,1276598,0,540,3,USD,Proseware Projector 1080p DLP86 Black,Proseware,Projectors & Screens,Computers,827.97,2499.0,7497.0,2483.91,5013.09
1147018,2,2/20/2018,2/27/2018,1276598,0,425,1,USD,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works,Desktops,Computers,188.13,369.0,369.0,188.13,180.87
1147018,3,2/20/2018,2/27/2018,1276598,0,1602,2,USD,SV DVD 12-Inch Player Portable M400 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",82.77,179.99,359.98,165.54,194.44000000000003
1147019,1,2/20/2018,,1598894,57,1622,1,USD,Contoso DVD Recorder L200 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,219.0,72.56,146.44
1147019,2,2/20/2018,,1598894,57,694,1,USD,Proseware Photo Ink Jet Printer E290 Grey,Proseware,"Printers, Scanners & Fax",Computers,52.0,102.0,102.0,52.0,50.0
1147020,1,2/20/2018,,1424341,44,449,1,USD,WWI Desktop PC3.0 M0300 Black,Wide World Importers,Desktops,Computers,160.49,349.0,349.0,160.49,188.51
1147021,1,2/20/2018,,1784986,48,2099,5,USD,Contoso Water Heater 1.5GPM E0800 Green,Contoso,Water Heaters,Home Appliances,131.28,257.5,1287.5,656.4,631.1
1147022,1,2/20/2018,,1625232,54,100,1,USD,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,Bluetooth Headphones,Audio,55.18,120.0,120.0,55.18,64.82
1147023,1,2/20/2018,2/28/2018,349086,0,1607,1,CAD,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",82.77,179.99,179.99,82.77,97.22000000000001
1147024,1,2/20/2018,,139856,5,594,8,AUD,Contoso Screen 113in M251 White,Contoso,Projectors & Screens,Computers,137.5,299.0,2392.0,1100.0,1292.0
1147024,2,2/20/2018,,139856,5,398,2,AUD,WWI Laptop12 M0120 White,Wide World Importers,Laptops,Computers,195.24,382.95,765.9,390.48,375.41999999999996
1147024,3,2/20/2018,,139856,5,1350,2,AUD,Contoso Dual Handset Cordless Phone System E20 White,Contoso,Home & Office Phones,Cell phones,6.62,12.99,25.98,13.24,12.74
1147024,4,2/20/2018,,139856,5,535,4,AUD,WWI LCD19W M100 White,Wide World Importers,Monitors,Computers,82.32,179.0,716.0,329.28,386.72
1147024,5,2/20/2018,,139856,5,114,9,AUD,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Bluetooth Headphones,Audio,82.83,249.99,2249.91,745.47,1504.4399999999998
1147024,6,2/20/2018,,139856,5,159,10,AUD,"Adventure Works 37"" 1080p LCD HDTV M150W White",Adventure Works,Televisions,TV and Video,505.85,1099.99,10999.9,5058.5,5941.4
1147025,1,2/20/2018,,1093788,37,2500,2,GBP,Contoso Phone Tough Skin Case E140 Silver,Contoso,Cell phones Accessories,Cell phones,12.09,23.72,47.44,24.18,23.259999999999998
1147025,2,2/20/2018,,1093788,37,1225,2,GBP,"Fabrikam Trendsetter 1/2"" 3mm X300 Orange",Fabrikam,Camcorders,Cameras and camcorders,331.32,1000.0,2000.0,662.64,1337.3600000000001
1147025,3,2/20/2018,,1093788,37,1012,2,GBP,A. Datum Point Shoot Digital Camera M500 Orange,A. Datum,Digital Cameras,Cameras and camcorders,91.05,198.0,396.0,182.1,213.9
1147025,4,2/20/2018,,1093788,37,1562,2,GBP,The Phone Company PDA Phone Unlocked 3.7 inches M510 White,The Phone Company,Smart phones & PDAs,Cell phones,109.45,238.0,476.0,218.9,257.1
1147026,1,2/20/2018,,1681186,63,1720,4,USD,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,280.52,129.0,151.51999999999998
1147026,2,2/20/2018,,1681186,63,1181,5,USD,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,Fabrikam,Camcorders,Cameras and camcorders,523.49,1580.0,7900.0,2617.45,5282.55
1147026,3,2/20/2018,,1681186,63,573,1,USD,Proseware Screen 85in E1010 Silver,Proseware,Projectors & Screens,Computers,70.87,139.0,139.0,70.87,68.13
1147026,4,2/20/2018,,1681186,63,1869,1,USD,Contoso Washer & Dryer 24in M240 White,Contoso,Washers & Dryers,Home Appliances,836.03,1818.0,1818.0,836.03,981.97
1147026,5,2/20/2018,,1681186,63,2109,6,USD,Contoso Water Heater 1.5GPM E0800 Grey,Contoso,Water Heaters,Home Appliances,131.28,257.5,1545.0,787.6800000000001,757.3199999999999
1148000,1,2/21/2018,2/24/2018,1828761,0,1206,10,USD,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,Fabrikam,Camcorders,Cameras and camcorders,516.86,1560.0,15600.0,5168.6,10431.4
1148001,1,2/21/2018,,1143470,40,1673,2,GBP,MGS Hand Games for kids E300 Red,Tailspin Toys,Boxed Games,Games and Toys,2.8,5.5,11.0,5.6,5.4
1148002,1,2/21/2018,2/24/2018,284346,0,1661,3,CAD,MGS Hand Games for kids E300 Yellow,Tailspin Toys,Boxed Games,Games and Toys,2.8,5.5,16.5,8.399999999999999,8.100000000000001
1148002,2,2/21/2018,2/24/2018,284346,0,2038,6,CAD,Litware Microwave 2.2CuFt M125 Red,Litware,Microwaves,Home Appliances,91.97,199.99,1199.94,551.8199999999999,648.1200000000001
1148002,3,2/21/2018,2/24/2018,284346,0,1689,2,CAD,SV Hand Games for 12-16 boys E60 Yellow,Southridge Video,Boxed Games,Games and Toys,2.54,4.98,9.96,5.08,4.880000000000001
1148003,1,2/21/2018,,1384111,56,1468,3,USD,Contoso Touch Screen Phones - CRT M11 Black,Contoso,Touch Screen Phones,Cell phones,86.91,189.0,567.0,260.73,306.27
1148003,2,2/21/2018,,1384111,56,68,2,USD,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Bluetooth Headphones,Audio,13.1,25.69,51.38,26.2,25.180000000000003
1148003,3,2/21/2018,,1384111,56,1680,2,USD,MGS Hand Games for students E400 Silver,Tailspin Toys,Boxed Games,Games and Toys,3.56,6.99,13.98,7.12,6.86
1148003,4,2/21/2018,,1384111,56,82,4,USD,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Bluetooth Headphones,Audio,18.65,40.55,162.2,74.6,87.6
1148004,1,2/21/2018,3/3/2018,1564733,0,213,3,USD,Litware Home Theater System 2.1 Channel E212 Silver,Litware,Home Theater System,TV and Video,152.9,299.9,899.6999999999999,458.70000000000005,440.9999999999999
1148005,1,2/21/2018,3/3/2018,1466728,0,85,2,USD,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Bluetooth Headphones,Audio,45.98,99.99,199.98,91.96,108.02
1148005,3,2/21/2018,3/3/2018,1466728,0,105,2,USD,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Bluetooth Headphones,Audio,52.88,115.0,230.0,105.76,124.24
1148006,1,2/21/2018,,1860085,47,1077,1,USD,"Contoso SLR Camera 35"" X358 Black",Contoso,Digital SLR Cameras,Cameras and camcorders,188.19,568.0,568.0,188.19,379.81
1148006,2,2/21/2018,,1860085,47,114,1,USD,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Bluetooth Headphones,Audio,82.83,249.99,249.99,82.83,167.16000000000003
1148006,3,2/21/2018,,1860085,47,1701,5,USD,SV Hand Games for 12-16 boys E60 Red,Southridge Video,Boxed Games,Games and Toys,2.54,4.98,24.900000000000002,12.7,12.200000000000003
1148007,1,2/21/2018,2/24/2018,991911,0,1552,4,GBP,The Phone Company PDA Palm 4.7 inch L850 Silver,The Phone Company,Smart phones & PDAs,Cell phones,131.87,398.0,1592.0,527.48,1064.52
1148008,1,2/21/2018,,2048840,59,666,1,USD,Proseware Office Jet All-in-One Printer M500 Black,Proseware,"Printers, Scanners & Fax",Computers,74.96,163.0,163.0,74.96,88.04
1148008,2,2/21/2018,,2048840,59,505,1,USD,Adventure Works LCD22 M200 White,Adventure Works,Monitors,Computers,205.09,619.0,619.0,205.09,413.90999999999997
1148009,1,2/21/2018,,1760369,64,370,7,USD,Adventure Works Laptop12 M1201 White,Adventure Works,Laptops,Computers,195.24,382.95,2680.65,1366.68,1313.97
1148009,2,2/21/2018,,1760369,64,353,3,USD,Fabrikam Laptop10.1 M0101 Silver,Fabrikam,Laptops,Computers,196.23,384.9,1154.6999999999998,588.6899999999999,566.0099999999999
1148009,3,2/21/2018,,1760369,64,1546,2,USD,The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver,The Phone Company,Smart phones & PDAs,Cell phones,100.06,302.0,604.0,200.12,403.88
1148011,1,2/21/2018,,2002288,56,90,1,USD,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Bluetooth Headphones,Audio,49.69,149.99,149.99,49.69,100.30000000000001
1148012,1,2/21/2018,,1596027,54,1803,7,USD,MGS Combat Flight Simulator 2009 E159,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,224.0,114.16999999999999,109.83000000000001
1148013,1,2/21/2018,2/26/2018,1314888,0,70,7,USD,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Bluetooth Headphones,Audio,22.05,47.95,335.65000000000003,154.35,181.30000000000004
1148013,2,2/21/2018,2/26/2018,1314888,0,1823,5,USD,MGS Flight Simulator 2009 E179,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,160.0,81.55,78.45
1148013,3,2/21/2018,2/26/2018,1314888,0,687,2,USD,Proseware High Speed Laser Fax M2000 Grey,Proseware,"Printers, Scanners & Fax",Computers,69.25,209.0,418.0,138.5,279.5
1148014,1,2/21/2018,,1906508,59,1843,4,USD,Litware Washer & Dryer 25.5in M350 Green,Litware,Washers & Dryers,Home Appliances,914.67,1989.0,7956.0,3658.68,4297.32
1148014,2,2/21/2018,,1906508,59,423,3,USD,Adventure Works Desktop PC2.30 MD230 Black,Adventure Works,Desktops,Computers,275.46,599.0,1797.0,826.3799999999999,970.6200000000001
1148014,3,2/21/2018,,1906508,59,86,4,USD,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Bluetooth Headphones,Audio,45.98,99.99,399.96,183.92,216.04
1148014,5,2/21/2018,,1906508,59,1364,6,USD,Contoso Phone System Accessory Handset with Charger M308 White,Contoso,Home & Office Phones,Cell phones,12.41,26.99,161.94,74.46000000000001,87.47999999999999
1148015,1,2/21/2018,,758899,30,2095,3,EUR,Contoso Water Heater 7.2GPM X1800 Green,Contoso,Water Heaters,Home Appliances,488.7,1475.0,4425.0,1466.1,2958.9
1148015,2,2/21/2018,,758899,30,1467,1,EUR,Contoso Sharp Touch Screen Phones M910 Black,Contoso,Touch Screen Phones,Cell phones,138.42,301.0,301.0,138.42,162.58
1148015,3,2/21/2018,,758899,30,1546,3,EUR,The Phone Company PDA Phone Unlocked 4.7 inches L550 Silver,The Phone Company,Smart phones & PDAs,Cell phones,100.06,302.0,906.0,300.18,605.8199999999999
1148016,1,2/21/2018,,241230,9,2515,5,CAD,Contoso In-Line Coupler E180 White,Contoso,Cell phones Accessories,Cell phones,1.71,3.35,16.75,8.55,8.2
1148016,2,2/21/2018,,241230,9,2007,1,CAD,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Microwaves,Home Appliances,220.64,665.94,665.94,220.64,445.30000000000007
1148016,3,2/21/2018,,241230,9,456,3,CAD,WWI Desktop PC2.30 M2300 White,Wide World Importers,Desktops,Computers,257.06,559.0,1677.0,771.1800000000001,905.8199999999999
1148018,1,2/21/2018,,608461,15,1449,1,EUR,The Phone Company Touch Screen Phones Infrared M901 Gold,The Phone Company,Touch Screen Phones,Cell phones,137.96,300.0,300.0,137.96,162.04
1148018,2,2/21/2018,,608461,15,88,1,EUR,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Bluetooth Headphones,Audio,49.69,149.99,149.99,49.69,100.30000000000001
1148019,1,2/21/2018,,1302010,65,158,1,USD,"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,Televisions,TV and Video,505.85,1099.99,1099.99,505.85,594.14
1148019,2,2/21/2018,,1302010,65,588,2,USD,Contoso Projector 1080p X981 White,Contoso,Projectors & Screens,Computers,827.97,2499.0,4998.0,1655.94,3342.06
1148019,3,2/21/2018,,1302010,65,161,1,USD,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,Televisions,TV and Video,527.53,1592.2,1592.2,527.53,1064.67
1148019,4,2/21/2018,,1302010,65,518,5,USD,WWI LCD24W X300 Black,Wide World Importers,Monitors,Computers,287.92,869.0,4345.0,1439.6000000000001,2905.3999999999996
1148020,1,2/21/2018,2/24/2018,1670789,0,1093,4,USD,"Contoso SLR Camera 35"" X358 Gold",Contoso,Digital SLR Cameras,Cameras and camcorders,188.19,568.0,2272.0,752.76,1519.24
1148020,2,2/21/2018,2/24/2018,1670789,0,1438,2,USD,The Phone Company Pen Touch Screen Phones M320 Grey,The Phone Company,Touch Screen Phones,Cell phones,133.36,290.0,580.0,266.72,313.28
1148020,3,2/21/2018,2/24/2018,1670789,0,54,1,USD,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Recording Pen,Audio,98.07,296.0,296.0,98.07,197.93
1148020,4,2/21/2018,2/24/2018,1670789,0,67,2,USD,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Bluetooth Headphones,Audio,13.1,25.69,51.38,26.2,25.180000000000003
1148020,5,2/21/2018,2/24/2018,1670789,0,2488,2,USD,Contoso Rubberized Skin BlackBerry E100 Black,Contoso,Cell phones Accessories,Cell phones,7.64,14.99,29.98,15.28,14.700000000000001
1148020,6,2/21/2018,2/24/2018,1670789,0,420,7,USD,Adventure Works Desktop PC1.80 ED182 Silver,Adventure Works,Desktops,Computers,254.86,499.9,3499.2999999999997,1784.02,1715.2799999999997
1148020,7,2/21/2018,2/24/2018,1670789,0,2303,4,USD,Proseware Floor Lamp M0215 Blue,Proseware,Lamps,Home Appliances,155.89,339.0,1356.0,623.56,732.44
1148021,1,2/21/2018,,1019974,40,324,3,GBP,SV Car Video LCD7W M7080 Brown,Southridge Video,Car Video,TV and Video,229.93,500.0,1500.0,689.79,810.21
1148021,2,2/21/2018,,1019974,40,1577,1,GBP,SV DVD Recorder L200 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,219.0,72.56,146.44
1148023,1,2/21/2018,,858185,33,2516,2,EUR,Contoso In-Line Coupler E180 Black,Contoso,Cell phones Accessories,Cell phones,1.71,3.35,6.7,3.42,3.2800000000000002
1148023,2,2/21/2018,,858185,33,1459,8,EUR,Contoso Touch Screen Phones 5-Wire/Built-in M500 Black,Contoso,Touch Screen Phones,Cell phones,117.73,256.0,2048.0,941.84,1106.1599999999999
1148024,1,2/21/2018,,1588014,61,2366,4,USD,Contoso Air conditioner 7000BTU E0260 Silver,Contoso,Air Conditioners,Home Appliances,152.94,299.99,1199.96,611.76,588.2
1148024,2,2/21/2018,,1588014,61,51,6,USD,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Recording Pen,Audio,91.95,199.95,1199.6999999999998,551.7,647.9999999999998
1148024,3,2/21/2018,,1588014,61,1639,3,USD,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,29.97,15.27,14.7
1148025,1,2/21/2018,,343129,8,2097,1,CAD,Contoso Water Heater 4.0GPM M1250 Green,Contoso,Water Heaters,Home Appliances,363.75,791.0,791.0,363.75,427.25
1148025,2,2/21/2018,,343129,8,613,1,CAD,WWI Projector 720p LCD56 Black,Wide World Importers,Projectors & Screens,Computers,321.44,699.0,699.0,321.44,377.56
1148026,1,2/21/2018,,1853113,55,1648,2,USD,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,219.98,112.16,107.82
1148027,1,2/21/2018,,1746251,44,443,2,USD,WWI Desktop PC3.0 M0300 Silver,Wide World Importers,Desktops,Computers,160.49,349.0,698.0,320.98,377.02
1148028,1,2/21/2018,,242098,10,512,3,CAD,Adventure Works LCD17W E203 White,Adventure Works,Monitors,Computers,65.77,129.0,387.0,197.31,189.69
1148028,2,2/21/2018,,242098,10,118,3,CAD,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Televisions,TV and Video,86.67,169.99,509.97,260.01,249.96000000000004
1148030,1,2/21/2018,,1629058,64,1296,3,USD,Contoso USB Cable M250 Black,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,11.5,25.0,75.0,34.5,40.5
1148030,2,2/21/2018,,1629058,64,1726,7,USD,MGS Zoo Tycoon 2 E108,Tailspin Toys,Download Games,Games and Toys,28.55,56.0,392.0,199.85,192.15
1148030,3,2/21/2018,,1629058,64,1704,5,USD,SV Hand Games for students E40 Silver,Southridge Video,Boxed Games,Games and Toys,3.56,6.99,34.95,17.8,17.150000000000002
1148031,1,2/21/2018,,2032912,57,747,3,USD,Contoso Mouse Lock Bundle E200 Black,Contoso,Computers Accessories,Computers,6.6,12.95,38.849999999999994,19.799999999999997,19.049999999999997
1148031,2,2/21/2018,,2032912,57,2114,10,USD,Contoso Water Heater 1.5GPM E0800 Red,Contoso,Water Heaters,Home Appliances,131.28,257.5,2575.0,1312.8,1262.2
1148031,3,2/21/2018,,2032912,57,2030,1,USD,Litware Microwave 0.8CuFt E080 Silver,Litware,Microwaves,Home Appliances,48.43,94.99,94.99,48.43,46.559999999999995
1148031,4,2/21/2018,,2032912,57,444,5,USD,WWI Desktop PC2.33 X2330 Black,Wide World Importers,Desktops,Computers,304.48,919.0,4595.0,1522.4,3072.6
1148032,1,2/21/2018,,1682386,51,1660,2,USD,Contoso DVD 15-Inch Player Portable L200 White,Contoso,Movie DVD,"Music, Movies and Audio Books",96.08,289.99,579.98,192.16,387.82000000000005
1148032,2,2/21/2018,,1682386,51,456,2,USD,WWI Desktop PC2.30 M2300 White,Wide World Importers,Desktops,Computers,257.06,559.0,1118.0,514.12,603.88
1148032,3,2/21/2018,,1682386,51,1617,2,USD,Contoso DVD Player M110 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",26.67,57.99,115.98,53.34,62.64
1148033,1,2/21/2018,,1648699,64,1581,2,USD,SV DVD Recorder L240 Gold,Southridge Video,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,438.0,145.12,292.88
1148033,2,2/21/2018,,1648699,64,1510,4,USD,The Phone Company Smart phones without camera E100 Gold,The Phone Company,Smart phones & PDAs,Cell phones,65.77,129.0,516.0,263.08,252.92000000000002
1148035,1,2/21/2018,3/2/2018,1284953,0,667,3,USD,Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black,Proseware,"Printers, Scanners & Fax",Computers,87.37,190.0,570.0,262.11,307.89
1149000,1,2/22/2018,2/24/2018,1078242,0,98,4,GBP,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Bluetooth Headphones,Audio,55.18,120.0,480.0,220.72,259.28
1149000,2,2/22/2018,2/24/2018,1078242,0,1637,1,GBP,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",8.27,17.99,17.99,8.27,9.719999999999999
1149001,1,2/22/2018,2/26/2018,1433389,0,554,1,USD,Proseware Projector 720p DLP56 White,Proseware,Projectors & Screens,Computers,459.4,999.0,999.0,459.4,539.6
1149001,2,2/22/2018,2/26/2018,1433389,0,2506,3,USD,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Pink,Contoso,Cell phones Accessories,Cell phones,2.42,4.74,14.22,7.26,6.960000000000001
1149001,3,2/22/2018,2/26/2018,1433389,0,79,1,USD,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,Bluetooth Headphones,Audio,18.65,40.55,40.55,18.65,21.9
1149002,1,2/22/2018,,884835,31,2071,2,EUR,Contoso Microwave 0.9CuFt E0090 Grey,Contoso,Microwaves,Home Appliances,50.98,99.99,199.98,101.96,98.02
1149002,2,2/22/2018,,884835,31,1569,1,EUR,The Phone Company PDA Palm 3.7 inch M830 White,The Phone Company,Smart phones & PDAs,Cell phones,137.5,299.0,299.0,137.5,161.5
1149003,1,2/22/2018,,964158,42,57,1,GBP,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Recording Pen,Audio,79.53,156.0,156.0,79.53,76.47
1149003,2,2/22/2018,,964158,42,2052,6,GBP,Litware Microwave 1.0CuFt E110 Blue,Litware,Microwaves,Home Appliances,71.37,139.99,839.94,428.22,411.72
1149003,3,2/22/2018,,964158,42,438,2,GBP,WWI Desktop PC2.33 X2330 Silver,Wide World Importers,Desktops,Computers,304.48,919.0,1838.0,608.96,1229.04
1149004,1,2/22/2018,,577143,23,2014,3,EUR,Fabrikam Microwave 2.2CuFt M1250 Blue,Fabrikam,Microwaves,Home Appliances,91.97,199.99,599.97,275.90999999999997,324.06000000000006
1149005,1,2/22/2018,,475485,23,234,2,EUR,Litware Home Theater System 5.1 Channel M513 Brown,Litware,Home Theater System,TV and Video,316.85,689.0,1378.0,633.7,744.3
1149006,1,2/22/2018,,1233674,64,419,2,USD,Adventure Works Desktop PC1.80 ED180 Silver,Adventure Works,Desktops,Computers,188.13,369.0,738.0,376.26,361.74
1149006,2,2/22/2018,,1233674,64,2091,4,USD,Contoso Water Heater 4.3GPM M1250 Blue,Contoso,Water Heaters,Home Appliances,403.53,877.5,3510.0,1614.12,1895.88
1149007,1,2/22/2018,,1326610,47,47,1,USD,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Recording Pen,Audio,76.45,149.95,149.95,76.45,73.49999999999999
1149007,2,2/22/2018,,1326610,47,2032,3,USD,Litware Microwave 2.2CuFt M125 Grey,Litware,Microwaves,Home Appliances,91.97,199.99,599.97,275.90999999999997,324.06000000000006
1149007,3,2/22/2018,,1326610,47,429,1,USD,Adventure Works Desktop PC2.30 MD230 Brown,Adventure Works,Desktops,Computers,275.87,599.9,599.9,275.87,324.03
1149008,1,2/22/2018,,2087937,61,64,4,USD,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Recording Pen,Audio,83.24,181.0,724.0,332.96,391.04
1149008,2,2/22/2018,,2087937,61,1440,1,USD,The Phone Company Touch Screen Phones - CRT M11 Grey,The Phone Company,Touch Screen Phones,Cell phones,86.91,189.0,189.0,86.91,102.09
1149009,1,2/22/2018,,643597,18,1411,1,EUR,"The Phone Company Touch Screen Phones 26-1.4"" M250 Black",The Phone Company,Touch Screen Phones,Cell phones,123.24,268.0,268.0,123.24,144.76
1149010,1,2/22/2018,,2061563,63,1692,1,USD,SV Hand Games for students E40 Black,Southridge Video,Boxed Games,Games and Toys,3.56,6.99,6.99,3.56,3.43
1149010,2,2/22/2018,,2061563,63,460,1,USD,WWI Desktop PC1.80 E1802 White,Wide World Importers,Desktops,Computers,152.9,299.9,299.9,152.9,146.99999999999997
1149010,3,2/22/2018,,2061563,63,1760,1,USD,MGS Return of Arcade Anniversary Edition M390,Tailspin Toys,Download Games,Games and Toys,43.6,94.8,94.8,43.6,51.199999999999996
1149011,1,2/22/2018,,1164576,37,389,7,GBP,Adventure Works Laptop16 M1601 Blue,Adventure Works,Laptops,Computers,275.46,599.0,4193.0,1928.2199999999998,2264.78
